177,Atlantic Coast Airlines,,,BLR,BLUE RIDGE,N
178,Aero Barloz,,,BLZ,AEROLOZ,N
179,Aeroper,,PL,PLI,Aeroperu,Y
180,Atlas Blue,,8A,BMM,ATLAS BLUE,Y
181,Aero Banobras,,,BNB,AEROBANOBRAS,N
182,Aero Flight Service,,,AGY,FLIGHT GROUP,N
183,Agrolet-Mci,,,AGZ,AGROLET,N
184,Air Alpha Greenland,,GD,AHA,AIR ALPHA,N
185,Azal Avia Cargo,,,AHC,AZALAVIACARGO,N
186,Airport Helicopter Basel,,,AHE, Muller & Co.,N
187,Aeroservices Corporate,,,CJE,BIRD JET,N
188,Aspen Helicopters,,,AHF,ASPEN,N
189,Aerochago Airlines,,,AHG,AEROCHAGO,N
190,Airplanes Holdings,,,AHH,AIRHOLD,N
191,Air Hong Kong,,LD,AHK,AIR HONG KONG,N
192,Aerochiapas,,,AHP,AEROCHIAPAS,N
193,Air Adriatic,,,AHR,ADRIATIC,N
194,Air Viggi San Raffaele,,,AHS,AIRSAR,N
195,ABC Air Hungary,,,AHU,ABC HUNGARY,N
196,Aeromist-Kharkiv,,HT,AHW,AEROMIST,N
197,Azerbaijan Airlines,,J2,AHY,AZAL,Y
198,Avies,,U3,AIA,AVIES,Y
199,Airbus Industrie,,AP,AIB,AIRBUS INDUSTRIE,N
200,Alpine Air Chile,,,AIH,ALPINE CHILE,N
201,Air Integra,,,AII,INTEGRA,N
202,ABC Aerolineas,,,AIJ,ABC AEROLINEAS,N
203,African Airlines International Limited,,,AIK,AFRICAN AIRLINES,N
204,African International Airways,,,AIN,FLY CARGO,N
205,Alpine Air Express,,5A,AIP,ALPINE AIR,N
206,Alicante Internacional Airlines,,,AIU,ALIA,N
207,Aba Air,,,ABP,BAIR,N
208,Airblue,,ED,ABQ,PAKBLUE,Y
209,Airmark Aviation,,,THM,THAI AIRMARK,N
210,Airlift International,,,AIR,AIRLIFT,Y
211,Airest,,,AIT, ,N
212,Air Baffin,,,BFF,AIR BAFFIN,N
213,Air Bandama,,,BDM,BANDAMA,N
214,Air Berlin,,AB,BER,AIR BERLIN,Y
215,Air Brousse,,,ABT,AIR BROUSSE,N
216,Air Contractors,,AG,ABR,CONTRACT,N
217,Air Illinois,,,AIL,AIR ILLINOIS,N
218,Air India Limited,,AI,AIC,AIRINDIA,Y
219,Air Inter Gabon,,,AIG, ,N
220,Air Bourbon,,ZB,BUB,BOURBON,Y
221,Air Atlanta Icelandic,,CC,ABD,ATLANTA,Y
222,Air Inuit,,3H,AIE,AIR INUIT,N
223,Air Sureste,,,AIS,SURESTE,N
224,Air Srpska,,RB,SBK,Air Srpska,N
225,Air Tahiti Nui,,TN,THT,TAHITI AIRLINES,Y
